"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","130210012","1","0.5","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/02/2020","AQS","130210012","1","0.5","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/03/2020","AQS","130210012","1","0.3","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/04/2020","AQS","130210012","1","0.1","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/05/2020","AQS","130210012","1","0.4","ppb","0","Macon-Forestry","23","96.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/06/2020","AQS","130210012","1","0.9","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/07/2020","AQS","130210012","1","0.6","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/08/2020","AQS","130210012","1","0.9","ppb","0","Macon-Forestry","22","92.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/09/2020","AQS","130210012","1","1.2","ppb","1","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/10/2020","AQS","130210012","1","0.5","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/11/2020","AQS","130210012","1","0.1","ppb","0","Macon-Forestry","21","88.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/12/2020","AQS","130210012","1","0.1","ppb","0","Macon-Forestry","23","96.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/13/2020","AQS","130210012","1","0.1","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/14/2020","AQS","130210012","1","0.1","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/15/2020","AQS","130210012","1","0.1","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/16/2020","AQS","130210012","1","0.2","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/17/2020","AQS","130210012","1","0.8","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/18/2020","AQS","130210012","1","0.7","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/19/2020","AQS","130210012","1","0.5","ppb","0","Macon-Forestry","23","96.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/20/2020","AQS","130210012","1","0.6","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/21/2020","AQS","130210012","1","0.7","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/22/2020","AQS","130210012","1","0.8","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/23/2020","AQS","130210012","1","1.1","ppb","1","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/24/2020","AQS","130210012","1","0.6","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/25/2020","AQS","130210012","1","0.5","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/26/2020","AQS","130210012","1","0.5","ppb","0","Macon-Forestry","23","96.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/27/2020","AQS","130210012","1","0.6","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/28/2020","AQS","130210012","1","0.6","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/29/2020","AQS","130210012","1","0.6","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/30/2020","AQS","130210012","1","0.7","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"01/31/2020","AQS","130210012","1","0.8","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/01/2020","AQS","130210012","1","0.9","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/02/2020","AQS","130210012","1","0.7","ppb","0","Macon-Forestry","23","96.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/03/2020","AQS","130210012","1","1.7","ppb","1","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/04/2020","AQS","130210012","1","1","ppb","1","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/05/2020","AQS","130210012","1","0.5","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/06/2020","AQS","130210012","1","0.2","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/07/2020","AQS","130210012","1","0.4","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/08/2020","AQS","130210012","1","0.8","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/09/2020","AQS","130210012","1","0.8","ppb","0","Macon-Forestry","23","96.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/10/2020","AQS","130210012","1","1","ppb","1","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"02/11/2020","AQS","130210012","1","0.4","ppb","0","Macon-Forestry","24","100.0000","42401","Sulfur dioxide","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
