"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","280490020","1","2","ppb","3","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/02/2020","AQS","280490020","1","0.5","ppb","0","Jackson NCORE","21","88.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/03/2020","AQS","280490020","1","0.9","ppb","0","Jackson NCORE","22","92.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/04/2020","AQS","280490020","1","0.9","ppb","0","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/05/2020","AQS","280490020","1","1.4","ppb","1","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/06/2020","AQS","280490020","1","1","ppb","1","Jackson NCORE","22","92.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/07/2020","AQS","280490020","1","1.5","ppb","1","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/08/2020","AQS","280490020","1","2.6","ppb","3","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/09/2020","AQS","280490020","1","0.6","ppb","0","Jackson NCORE","22","92.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/10/2020","AQS","280490020","1","0.4","ppb","0","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/11/2020","AQS","280490020","1","0.4","ppb","0","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/12/2020","AQS","280490020","1","0.7","ppb","0","Jackson NCORE","22","92.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/13/2020","AQS","280490020","1","0.5","ppb","0","Jackson NCORE","21","88.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/14/2020","AQS","280490020","1","0.3","ppb","0","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/15/2020","AQS","280490020","1","0.5","ppb","0","Jackson NCORE","22","92.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/16/2020","AQS","280490020","1","0.5","ppb","0","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/17/2020","AQS","280490020","1","0.5","ppb","0","Jackson NCORE","24","100.0000","42401","Sulfur dioxide","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
