"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","19","79.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/02/2020","AQS","480291069","1","0.8","ppm","9","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/03/2020","AQS","480291069","1","1","ppm","11","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/04/2020","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/05/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/06/2020","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/07/2020","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/08/2020","AQS","480291069","1","0.8","ppm","9","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/09/2020","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/10/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/11/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/12/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/13/2020","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/14/2020","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/15/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/16/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/17/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/18/2020","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/19/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/20/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/21/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","18","75.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/22/2020","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/23/2020","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/24/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/25/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/26/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/27/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/28/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/29/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/30/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"01/31/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/01/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/02/2020","AQS","480291069","1","0.8","ppm","9","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/03/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/04/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/05/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/06/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/07/2020","AQS","480291069","1","0.9","ppm","10","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/08/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/09/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/10/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/11/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/12/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/13/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/14/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/15/2020","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/16/2020","AQS","480291069","1","0.9","ppm","10","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/17/2020","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/18/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/19/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/20/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/21/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/22/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/23/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/24/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/25/2020","AQS","480291069","1","0.8","ppm","9","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/26/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/27/2020","AQS","480291069","1","0.7","ppm","8","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/28/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"02/29/2020","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/01/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/02/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/03/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/04/2020","AQS","480291069","1","0.5","ppm","6","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/05/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","17","71.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/06/2020","AQS","480291069","1","0.6","ppm","7","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/07/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/08/2020","AQS","480291069","1","0.2","ppm","2","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/09/2020","AQS","480291069","1","0.3","ppm","3","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
"03/10/2020","AQS","480291069","1","0.4","ppm","5","San Antonio Interstate 35","24","100.0000","42101","Carbon monoxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.529432","-98.391403"
