"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","080013001","1","48.5","ppb","45","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/02/2020","AQS","080013001","1","47.4","ppb","44","Welby","21","88.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/03/2020","AQS","080013001","1","46.5","ppb","43","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/04/2020","AQS","080013001","1","37.6","ppb","35","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/05/2020","AQS","080013001","1","34.9","ppb","32","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/06/2020","AQS","080013001","1","30.4","ppb","28","Welby","21","88.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/07/2020","AQS","080013001","1","45.4","ppb","42","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/08/2020","AQS","080013001","1","48","ppb","45","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/09/2020","AQS","080013001","1","24.6","ppb","23","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/10/2020","AQS","080013001","1","35.6","ppb","33","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/11/2020","AQS","080013001","1","27.7","ppb","25","Welby","23","96.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/12/2020","AQS","080013001","1","40.2","ppb","38","Welby","19","79.0000","42602","Nitrogen dioxide (NO2)","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
