"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/16/2020","AQS","011090003","2","0.008","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"01/22/2020","AQS","011090003","2","0.018","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"01/28/2020","AQS","011090003","2","0.018","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"02/03/2020","AQS","011090003","2","0.096","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"02/09/2020","AQS","011090003","2","0.066","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"02/15/2020","AQS","011090003","2","0.048","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"02/21/2020","AQS","011090003","2","0.033","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"02/27/2020","AQS","011090003","2","0.035","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"03/04/2020","AQS","011090003","2","0.038","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"03/10/2020","AQS","011090003","2","0.146","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"03/16/2020","AQS","011090003","2","0.053","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"03/28/2020","AQS","011090003","2","0.042","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"04/03/2020","AQS","011090003","2","0.018","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"04/09/2020","AQS","011090003","2","0.009","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"04/15/2020","AQS","011090003","2","0.032","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"04/21/2020","AQS","011090003","2","0.017","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
"04/27/2020","AQS","011090003","2","0.027","ug/m3 LC",".","TROY LEAD","1","100.0000","14129","Lead (TSP) LC","45980","Troy, AL","01","Alabama","109","Pike","31.7904790008453","-85.978974"
